instance,class,n_customers,n_vehicles,bks_distance,method,makespan,total_co2_kg,total_distance,service_rate,n_served,workload_balance,battery_used_pct,runtime_s,gap_to_bks_pct
R211,R2,100,25,892.7,ALNS,766.6882,75.2593,822.026,1.0,100.0,218.1726,0.0,22.1196,-14.1158
R211,R2,100,25,892.7,AM,520.3309,194.7914,2351.7432,1.0,100.0,117.9145,0.0,0.0071,-41.7127
R211,R2,100,25,892.7,POMO,520.2351,191.5426,2313.0842,1.0,100.0,132.3397,0.0,0.0617,-41.7234
R211,R2,100,25,892.7,TD-Split,509.8804,160.9392,3338.1527,1.0,100.0,218.9857,40.7477,0.0011,-42.8833
R211,R2,100,25,892.7,GAT-MARL,584.9287,305.1991,3644.4869,1.0,100.0,227.2398,0.0,229.6564,-34.4765
RC101,RC1,100,25,1696.9,NNH,212.7192,229.0727,2669.2282,0.83,83.0,30.6338,0.0,0.0035,-87.4642
RC101,RC1,100,25,1696.9,CWS,265.1717,103.4341,1040.7571,1.0,100.0,17.4037,0.0,0.012,-84.3732
RC101,RC1,100,25,1696.9,ALNS,202.1523,114.5444,1204.5005,0.83,83.0,85.7903,0.0,2.0159,-88.087
RC101,RC1,100,25,1696.9,AM,212.7192,229.0727,2669.2282,0.83,83.0,30.6338,0.0,0.0069,-87.4642
RC101,RC1,100,25,1696.9,POMO,212.7192,229.0727,2669.2282,0.83,83.0,30.6338,0.0,0.0548,-87.4642
RC101,RC1,100,25,1696.9,TD-Split,212.7192,229.0727,2669.2282,0.83,83.0,30.6338,0.0,0.003,-87.4642
RC101,RC1,100,25,1696.9,GAT-MARL,202.0,343.3838,3907.4801,0.93,93.0,77.9843,0.0,2816.4221,-88.0959
RC102,RC1,100,25,1554.8,NNH,212.7192,243.5886,2822.8103,0.9,90.0,32.3639,0.0,0.0041,-86.3185
RC102,RC1,100,25,1554.8,CWS,265.1717,103.4341,1040.7571,1.0,100.0,17.1478,0.0,0.004,-82.945
RC102,RC1,100,25,1554.8,ALNS,203.0465,127.6755,1323.2484,0.9,90.0,87.3523,0.0,2.0894,-86.9407
RC102,RC1,100,25,1554.8,AM,212.7192,249.1994,2885.7836,0.9,90.0,31.709,0.0,0.007,-86.3185
RC102,RC1,100,25,1554.8,POMO,212.7192,243.5886,2822.8103,0.9,90.0,32.3639,0.0,0.0566,-86.3185
RC102,RC1,100,25,1554.8,TD-Split,212.7192,243.5886,2822.8103,0.9,90.0,32.3639,0.0,0.002,-86.3185
RC102,RC1,100,25,1554.8,GAT-MARL,202.1523,428.9178,4828.3912,1.0,100.0,80.6081,0.0,2680.4486,-86.9982
RC103,RC1,100,25,1261.7,NNH,212.7192,263.7348,3041.3957,1.0,100.0,37.8142,0.0,0.003,-83.1403
RC103,RC1,100,25,1261.7,CWS,265.1717,103.4341,1040.7571,1.0,100.0,27.7036,0.0,0.004,-78.983
RC103,RC1,100,25,1261.7,ALNS,213.0788,123.7466,1248.7708,1.0,100.0,88.873,0.0,2.572,-83.1118
RC103,RC1,100,25,1261.7,AM,212.7192,243.6501,2804.1432,0.99,99.0,36.8471,0.0,0.0085,-83.1403
RC103,RC1,100,25,1261.7,POMO,212.7192,241.2205,2778.6364,0.99,99.0,39.1348,0.0,0.0621,-83.1403
